pregunta,respuesta,explicacion,categoria,dificultad,puntos
¿En qué año fue fundada la ONU?,1945,La ONU fue fundada el 24 de octubre de 1945 tras la Segunda Guerra Mundial.,Historia,easy,
¿Cuántos países miembros tiene la ONU?,193,193 estados miembros. El último fue Sudán del Sur en 2011.,Institucional,mid,
¿Qué significa ODS?,Objetivos de Desarrollo Sostenible,17 objetivos adoptados en 2015 como parte de la Agenda 2030.,Agenda 2030,easy,
¿Cuántos ODS existen?,17,La Agenda 2030 contiene 17 ODS con 169 metas específicas.,Agenda 2030,easy,
¿Quién es el Secretario General de la ONU?,António Guterres,Asumió el 1 de enero de 2017 y fue reelecto para un segundo mandato hasta 2026.,Institucional,mid,
¿En qué año se aprobó la Agenda 2030?,2015,Fue aprobada en la Cumbre de Desarrollo Sostenible de septiembre de 2015.,Agenda 2030,mid,
¿Cuáles son los 6 órganos principales de la ONU?,"Asamblea General, Consejo de Seguridad, Secretaría, CIJ, ECOSOC, Consejo de Tutela",Establecidos por la Carta de la ONU firmada en San Francisco en 1945.,Estructura,hard,
¿Qué es el Consejo de Seguridad?,Órgano responsable del mantenimiento de la paz y seguridad internacionales,Tiene 15 miembros: 5 permanentes con poder de veto y 10 no permanentes electos bienalmente.,Estructura,hard,
¿En qué ciudad tiene su sede la ONU?,Nueva York,La sede principal está en Nueva York desde 1952. También tiene oficinas en Ginebra y Viena.,Institucional,easy,
¿Cuál es el ODS número 4?,Educación de calidad,Busca garantizar educación inclusiva y equitativa de calidad para todos durante toda la vida.,Agenda 2030,hard,20
